denoised_Price,denoised_Volume,denoised_Relative Volume_20,denoised_Relative Volume_50,denoised_20-Day Average Swing
27.635194011446792,27940199.61175159,1.2760506020335927,1.5012157516327382,0.46078388335498555
26.29387760524606,26390247.70998359,1.3934693490030345,1.600356590240629,0.4318362427425991
27.589533931479114,26160728.293383196,1.5784290328577846,1.7893292751617171,0.4876395916136403
27.70604697311222,25883576.808404647,1.6505936877381455,1.8769827878406216,0.4990399257101381
27.445910025795552,24982342.51912543,1.5859606076960262,1.8299202257726532,0.4875276194541869
28.005810209354923,25630571.31018358,1.5075922350293733,1.801496751075107,0.5140142399971298
28.614999653979563,27473105.68179443,1.3669693311823135,1.7401334410513263,0.5520709437969977
29.257524087057774,27729978.99417775,1.2623504445926497,1.6717170136203807,0.5818544845753308
29.865025641135738,26496161.68941342,1.2096212141341451,1.6110108349512382,0.6043377214969963
30.027955689733904,24891934.768111087,1.120719593247854,1.5035735695475365,0.6155474235495556
29.62523863160959,22290002.75293754,1.0209940955760952,1.357116208138081,0.6088430419591824
29.625777153960055,21314667.39254162,0.9672222959267127,1.2850182926256914,0.6166770553738586
29.94212915920419,22197155.89908077,0.9557140911125038,1.2887434839585103,0.6375318465505393
29.913110196928805,23170698.821484625,0.9794366527991117,1.3192046204440127,0.6482918771137517
29.687228291288537,24893195.315001834,1.0526670055772367,1.4043682237203325,0.6545173782112157
29.60784411019049,25314439.141082052,1.0619334101357674,1.41051735613243,0.659797919436935
29.605359047470873,24113262.781648047,1.0015546004022293,1.3261253866810911,0.6611150022996252
29.57943403809065,22793180.271017026,0.9391682481161895,1.238959049153344,0.6596012268253229
29.583271544887165,20780475.988776103,0.8472973916792492,1.1152256653489234,0.6549151145657262
29.619588496533538,19080037.26441177,0.7772679665727219,1.0139639846542539,0.6473261434968474
29.6876373951786,17875405.64514861,0.7374189631314613,0.9460868811111335,0.6368464047115657
29.819713350941573,16193863.496960392,0.6808679177307554,0.8556400173129071,0.6225555901451514
30.02192428144453,14295683.85870807,0.6206902161366287,0.7581077049686739,0.6044258110467244
30.122823821142045,13073088.181574998,0.5885348931608392,0.694561560570661,0.5864148421314302
30.11728028473164,12501723.057068566,0.5823389799214423,0.6628539878851637,0.5686563502580074
30.096786456464244,12359034.987694945,0.597193240219399,0.6556253768184143,0.5491417145783604
30.01998294897487,12870677.426993668,0.6409022546575482,0.6831358850290447,0.5288502241263584
30.04530351227291,13146839.826152226,0.6751345169586987,0.7004037415443353,0.5113995949269987
30.19091655428507,13161031.355555544,0.6989226245511447,0.7064857190739875,0.4971629823239628
30.347501389931512,13550629.077062216,0.7380063202932663,0.7326697484822237,0.48530894701657995
30.556742953674604,14126709.28891725,0.7840812917203375,0.7694823802904078,0.4770253990143858
