Date,Price,SMA_20,SMA_50,EMA_20,EMA_50,Volume,Relative Volume_20,Relative Volume_50,20-Day Average Swing,PE Ratio
2016-01-19,26.496212005615234,26.82494592666626,26.606392974853517,26.6518077523356,26.66419159014569,20364300,1.3207743577420694,1.4899273352862186,0.41311925782437536,6.0657193209342335
2016-01-20,26.230484008789062,26.807631301879884,26.592000427246095,26.611436594211554,26.6446421530949,28290200,1.8549479024942939,2.0206061804256428,0.42925663677386827,6.0048867972466935
2016-01-21,27.086729049682617,26.823212718963624,26.599632835388185,26.656952546697884,26.66445320681312,31354100,1.9234599839211184,2.185709878019179,0.4739840790564376,6.200905084196597
2016-01-22,27.77762222290039,26.86050500869751,26.626683197021485,26.76421604479751,26.714059539339775,23075700,1.3657820278007373,1.5814272943809395,0.4930989651564877,6.359069733113222
2016-01-25,27.77172088623047,26.879710483551026,26.655948791503906,26.86060226546401,26.760941573947473,24298800,1.3903890191608501,1.6332325877045524,0.506085442684045,6.357718753137274
2016-01-26,28.49214744567871,26.941937351226805,26.697056350708007,27.016622218510786,26.837289061327056,22620900,1.2298438943289707,1.4909565417300945,0.5319055044097224,6.5226444149652085
2016-01-27,28.952741622924805,27.026026821136476,26.75309253692627,27.201695728263417,26.930128590586712,33795700,1.709413338661177,2.16265960602847,0.5603505541438667,6.628087223146218
2016-01-28,28.94093132019043,27.096109676361085,26.81589244842529,27.36789065661954,27.017965162170025,20085200,0.9849908698606339,1.273124231600955,0.5755813251313165,6.625383516613873
2016-01-29,29.507827758789062,27.207370471954345,26.880580101013184,27.572310092630435,27.12624454380843,29082600,1.35920006916906,1.8001437262738684,0.5873084905876691,6.755161866811546
2016-02-01,29.974336624145508,27.3579984664917,26.95413131713867,27.801699838079877,27.249575722111405,28536600,1.2825936828555358,1.7280987945952873,0.6102440393420503,6.861958711484287
2016-02-02,29.472400665283203,27.49373779296875,27.014143867492677,27.96120760788407,27.34543907146342,21607000,0.9629472326575798,1.2958715871443205,0.6179342851558769,6.747051620504735
2016-02-03,29.89164924621582,27.632064533233642,27.078108024597167,28.145470370855005,27.45482118730132,20309800,0.8957997340802668,1.2022258504425785,0.6265315544617185,6.8430292725969775
2016-02-04,29.77946281433105,27.777035236358643,27.1441450881958,28.301403521069506,27.554312578864618,19594300,0.8632673556751117,1.14984692611082,0.6347981837211181,6.8173466804103695
2016-02-05,30.09833526611328,27.94533109664917,27.221226272583007,28.472853060332348,27.662804454897092,25790300,1.1201743264590438,1.4864045991209394,0.6412938422837199,6.890345446848351
2016-02-08,29.96251106262207,28.11982707977295,27.29325782775879,28.61496011220076,27.760542026179277,27058100,1.1491281025930031,1.5313529462899946,0.6460182763576698,6.859251511791047
2016-02-09,29.61412239074707,28.26922664642334,27.361471557617186,28.710260928268994,27.839061340835457,22633900,0.9443768979205591,1.2587110261660006,0.6684571149053136,6.779495662247764
2016-02-10,29.51372337341309,28.41833076477051,27.42406032562256,28.78688482525531,27.90977909387306,18633100,0.7717958250017345,1.0197455121149472,0.6678665938356213,6.756511536852161
2016-02-11,29.165328979492188,28.57304468154907,27.477114791870118,28.8229712972396,27.962639312455245,30521000,1.2354666901446223,1.6502544185033525,0.6572373849936343,6.67675437737354
