Date,Price,SMA_20,SMA_50,EMA_20,EMA_50,Volume,Relative Volume_20,Relative Volume_50,20-Day Average Swing,PE Ratio
2016-01-19,26.103599548339844,26.427457332611084,26.21214225769043,26.25688435264252,26.26908447341348,20364300,1.3207743577420694,1.4899273352862186,0.4069986242040818,5.975839417828457
2016-01-20,25.841800689697266,26.410398864746092,26.197962875366212,26.21711111781266,26.249824590045854,28290200,1.8549479024942939,2.0206061804256428,0.4228973760079439,5.915906383071252
2016-01-21,26.68535614013672,26.425748538970947,26.20548210144043,26.261952179232285,26.26934188178517,31354100,1.9234599839211184,2.185709878019179,0.4669619518913114,6.109019670092264
2016-01-22,27.366012573242188,26.46248779296875,26.232131576538087,26.36762594063542,26.318212996778897,23075700,1.3657820278007373,1.5814272943809395,0.4857936340656613,6.264840844693791
2016-01-25,27.360200881958008,26.481408500671385,26.260963478088378,26.462583843950586,26.364400287481523,24298800,1.3903890191608501,1.6332325877045524,0.498587826892593,6.263510387038097
2016-01-26,28.06995010375977,26.542713356018066,26.30146171569824,26.61629163667711,26.43961632342492,22620900,1.2298438943289707,1.4909565417300945,0.5240251848803487,6.425991709530105
2016-01-27,28.523719787597656,26.625557136535644,26.35666744232178,26.798622551643945,26.53108005466363,33795700,1.709413338661177,2.16265960602847,0.5520487378479182,6.529872201501047
2016-01-28,28.512083053588867,26.694601440429686,26.418536567687987,26.96235450761563,26.617614904233953,20085200,0.9849908698606339,1.273124231600955,0.5670534775770752,6.527208229673876
2016-01-29,29.07057762145996,26.804213047027588,26.482265701293944,27.163744436076737,26.724289580404424,29082600,1.35920006916906,1.8001437262738684,0.5786071716628649,6.6550631581540145
2016-02-01,29.530170440673828,26.95260829925537,26.554726905822754,27.389734387352203,26.845792882584817,28536600,1.2825936828555358,1.7280987945952873,0.6012028971701928,6.760276727651322
2016-02-02,29.03567314147949,27.086336135864258,26.61384998321533,27.546878033677327,26.940235432792097,21607000,0.9629472326575798,1.2958715871443205,0.6087785572235187,6.647072552607839
2016-02-03,29.44872665405273,27.22261381149292,26.67686664581299,27.728411561852603,27.047997187914678,20309800,0.8957997340802668,1.2022258504425785,0.6172484475971218,6.741631981376913
