Price,Open,High,Low,Close,Volume
Ticker,VZ,VZ,VZ,VZ,VZ
Date,,,,,
2015-11-05,26.550769805908203,26.68294869769471,26.493299292777603,26.550769805908203,11646900
2015-11-06,26.43008180318809,26.45306781336961,26.02779702929024,26.30939483642578,14144400
2015-11-09,26.165717672925794,26.171465818758197,25.878371765013934,26.033538818359375,10743200
2015-11-10,26.01630457493298,26.050786880801514,25.74619865965226,25.91860580444336,9996700
2015-11-11,26.068026426728448,26.171471150031,25.93584754523646,26.0450382232666,7904000
2015-11-12,25.87262410500654,25.912852354078886,25.728951160526677,25.7634334564209,11053500
2015-11-13,25.705972784016183,25.855393931034428,25.412880829905,25.41862678527832,12615600
2015-11-16,25.4358598162294,25.901360994794963,25.389885609116657,25.88412094116211,10112500
2015-11-17,25.866879766964274,26.04503503356148,25.820905557946737,25.9071102142334,10657500
2015-11-18,25.907112138745465,26.108253428655498,25.619766186145053,26.079519271850586,13585600
2015-11-19,26.113992339490594,26.361109967455015,26.06226999428234,26.297893524169922,9320900
2015-11-20,26.412836472400638,26.43007871836889,26.045034045117053,26.085262298583984,12229700
2015-11-23,26.039295630288777,26.148486322415756,25.826658009228193,25.85539436340332,10290100
2015-11-24,25.71746371880067,26.05653204323119,25.677235459315327,25.970327377319336,11127400
2015-11-25,25.924357453234826,25.935851556743547,25.797924506915002,25.81516456604004,7013900
2015-11-27,25.769189031428095,26.085269188848354,25.76344307610451,25.993318557739258,4108300
2015-11-30,26.004802647122883,26.228932087129646,25.838141507326785,26.119741439819336,19400000
2015-12-01,26.15422184442539,26.37260533383769,26.050779341309195,26.1944522857666,10580000
2015-12-02,26.11975282833088,26.177221153598392,25.786430403406285,25.81516456604004,12160400
2015-12-03,25.792166105946208,25.889862650215214,25.47608608493909,25.608264923095703,17077700
2015-12-04,25.711719145677566,26.30939711540665,25.6944768962033,26.269168853759766,14158600
2015-12-07,26.125489984194306,26.50478650312064,26.119744030513377,26.470306396484375,13192100
2015-12-08,26.2461740451475,26.430077442184857,26.11399519124197,26.263416290283203,13776100
2015-12-09,26.19445659509103,26.51053668644153,25.93009666766968,26.068023681640625,13467900
2015-12-10,26.131242890110645,26.240433568140787,25.976075805156814,26.0450382232666,10402500
2015-12-11,26.04504409025633,26.06228415059839,25.705975685779606,25.75769805908203,16481900
2015-12-14,25.769179108618964,26.14847558992467,25.677228512916827,26.119741439819336,16723100
2015-12-15,26.159973614627607,26.35536893385484,25.981818349596008,26.177213668823242,16742600
2015-12-16,26.395596045305684,26.763398467386196,26.26341718688771,26.72891616821289,18808300
2015-12-17,26.71743312215295,26.83236977296771,26.453073125361183,26.493301391601562,15508600
2015-12-18,26.378365427656608,26.45882196223239,26.18297004699707,26.18297004699707,31635100
2015-12-21,26.280663879438656,26.389854565991843,26.159979090257355,26.37836265563965,10360600
2015-12-22,26.550770963670857,26.700189919774086,26.349627447356646,26.631227493286133,11181500
2015-12-23,26.72892087399985,27.09672555310995,26.659958455787347,26.981786727905273,12685500
2015-12-24,26.9587917933329,26.99327408996748,26.78063654913371,26.843852996826172,4279900
2015-12-28,26.792133622381336,26.9185665318024,26.757653514194097,26.866844177246094,6254900
2015-12-29,26.99901813635724,27.142691073774387,26.918561642167646,27.131196975708008,7667100
2015-12-30,27.125463228436832,27.125463228436832,26.79214081135219,26.878345489501953,8970700
2015-12-31,26.734672560613564,26.80938313572945,26.55651724834523,26.562265396118164,11490900
2016-01-04,26.246177592720898,26.384104611073045,26.06802450968237,26.361116409301758,17821600
2016-01-05,26.550766011279904,26.751907297800155,26.22319180621801,26.723173141479492,15632800
2016-01-06,26.46429646926553,26.73190587128579,26.342125029872754,26.481748580932617,19082700
2016-01-07,26.24903492759668,26.569002780555817,26.179224284226038,26.336299896240234,19277600
2016-01-08,26.563182289320917,26.609724190961014,26.00469278507985,26.080322265625,16594800
2016-01-11,26.243218118623567,26.31302876151527,25.946519002663262,26.231582641601562,14226200
2016-01-12,26.3188486933784,26.324665322508753,25.90579700943013,26.13850212097168,15123000
2016-01-13,26.24321430826416,26.33629589168498,25.64400175369515,25.684724807739258,19291000
2016-01-14,25.725456460220315,26.28976277740439,25.626555996456855,26.103599548339844,18435000
2016-01-15,25.62073943509427,25.917436388697887,25.516022341059873,25.847625732421875,27993900
2016-01-19,26.027972262260388,26.185045683650493,25.905800840053672,26.103599548339844,20364300
2016-01-20,25.81853195600922,26.045418198959233,25.475293167658112,25.841800689697266,28290200
2016-01-21,26.179225076707684,26.952967683099104,25.84762173660862,26.68535614013672,31354100
2016-01-22,26.999502862025185,27.412552256041153,26.760981162175394,27.366012573242188,23075700
2016-01-25,27.389290687960873,27.796521341113575,27.075139424751118,27.360200881958008,24298800
2016-01-26,27.418378826365576,28.081585582546886,27.371836911217088,28.069950103759766,22620900
2016-01-27,28.093218212335618,28.791331334081026,28.069947257121335,28.523719787597656,33795700
2016-01-28,28.541172855945078,28.7738757401124,28.197934049000963,28.512083053588867,20085200
2016-01-29,28.733155411366468,29.082213099660482,28.634257175522855,29.07057762145996,29082600
2016-02-01,29.053126871915723,29.68142945666493,28.907686705361645,29.530170440673828,28536600
2016-02-02,29.44290602894964,29.45454150793344,28.884416353171513,29.035673141479492,21607000
2016-02-03,29.233475811751696,29.448726654052734,28.750613354998524,29.448726654052734,20309800
2016-02-04,29.303266494712418,29.437071101079933,28.896033829675925,29.338172912597656,19594300
2016-02-05,29.274204054327218,29.78615419328322,29.268387422639243,29.6523494720459,25790300
2016-02-08,29.437081554645314,29.553434103008552,28.954221474912245,29.518529891967773,27058100
2016-02-09,29.122943949214015,29.442911917923876,28.70989213001576,29.175302505493164,22633900
2016-02-10,29.198569976416174,29.27419949202153,28.866966540846363,29.076400756835938,18633100
2016-02-11,28.855329230756208,29.14620957469222,28.66334935776371,28.7331600189209,30521000
2016-02-12,28.82043127291128,29.198574470659757,28.709895297880283,29.152034759521484,20990900
2016-02-16,29.227651596069336,29.26255580945722,28.843689714119638,29.227651596069336,16360000
2016-02-17,29.326553262864955,29.437086983613185,29.134573409013743,29.274194717407227,15228900
2016-02-18,29.157842247378856,29.72796740029166,29.064760635051066,29.634885787963867,19678500
2016-02-19,29.518543437361398,29.710523343901755,29.268386120322983,29.588354110717773,15607000
2016-02-22,29.588339175042496,29.757050251462527,29.53598064164456,29.710508346557617,12456000
2016-02-23,29.65233318802758,29.663968664255126,29.29745893042804,29.45453453063965,11594600
2016-02-24,29.245108905990246,29.594164417414845,29.186931507925603,29.56507682800293,11244900
2016-02-25,29.61162023077133,29.844323176971955,29.541807349594304,29.733789443969727,12358700
2016-02-26,29.757050767068062,29.867584464272195,29.62324389776804,29.681421279907227,13011500
2016-02-29,29.588336234927084,29.890851929028276,29.48943580645172,29.512706756591797,15986300
2016-03-01,29.663972947039422,29.943217759096427,29.65815409846546,29.93739891052246,12003300
2016-03-02,29.93738833925453,30.36789199285147,29.78031277183023,30.32135009765625,14791100
2016-03-03,30.33300312027316,30.379545042394685,30.024670653561532,30.187562942504883,15404500
2016-03-04,30.106109573255328,30.251549716121296,29.96066943038936,30.141016006469727,13957600
2016-03-07,29.978126551463074,30.455170122313646,29.90249926237662,30.37372398376465,14907500
